epoch,acc,iou,loss,lr,precision_3,recall_3,val_acc,val_iou,val_loss,val_precision_3,val_recall_3
31,0.8397719264030457,0.37651726603507996,0.0011715433793142438,1.0000001e-06,1.0,0.22413960099220276,0.8391072154045105,0.3897225558757782,0.0009761957335285842,1.0,0.23334456980228424
32,0.8397724628448486,0.37651780247688293,0.0011705306824296713,1.0000001e-07,1.0,0.22414682805538177,0.8390713334083557,0.3897550106048584,0.0009757508523762226,1.0,0.23334093391895294
33,0.8397715091705322,0.37651872634887695,0.0011704812059178948,1.0000001e-07,1.0,0.22414740920066833,0.839054524898529,0.38977500796318054,0.0009754898492246866,1.0,0.23333996534347534
34,0.8397697806358337,0.37651965022087097,0.001170430681668222,1.0000001e-07,1.0,0.2241477519273758,0.8390392661094666,0.38978782296180725,0.0009753229678608477,1.0,0.23333963751792908
35,0.8397685885429382,0.3765204846858978,0.001170379458926618,1.0000001e-07,1.0,0.2241484671831131,0.8390339016914368,0.38979578018188477,0.0009752069599926472,1.0,0.23334158957004547
36,0.8397685885429382,0.3765204846858978,0.0011702701449394226,1.0000001e-08,1.0,0.22414912283420563,0.8390316367149353,0.3898024559020996,0.000975148577708751,1.0,0.2333410382270813
37,0.839768648147583,0.3765206038951874,0.0011702659539878368,1.0000001e-08,1.0,0.22414883971214294,0.8390295505523682,0.3898064196109772,0.0009751119650900364,1.0,0.23334169387817383
38,0.8397685885429382,0.3765206038951874,0.001170261763036251,1.0000001e-08,1.0,0.22414878010749817,0.8390259146690369,0.3898089826107025,0.00097508798353374,1.0,0.23334196209907532
39,0.8397682309150696,0.3765206038951874,0.0011702572228386998,1.0000001e-08,1.0,0.22414855659008026,0.8390259146690369,0.3898104727268219,0.0009750717435963452,1.0,0.2333420366048813
40,0.8397684097290039,0.37652066349983215,0.0011702486081048846,1.0000001e-09,1.0,0.22414858639240265,0.8390272259712219,0.3898117244243622,0.0009750635945238173,1.0,0.23334282636642456
41,0.8397682309150696,0.37652066349983215,0.001170248375274241,1.0000001e-09,1.0,0.22414857149124146,0.8390257358551025,0.3898124396800995,0.0009750584722496569,1.0,0.23334330320358276
42,0.8397683501243591,0.37652066349983215,0.0011702481424435973,1.0000001e-09,1.0,0.22414860129356384,0.8390269875526428,0.389812707901001,0.0009750553290359676,1.0,0.23334336280822754
43,0.8397683501243591,0.37652066349983215,0.0011702481424435973,1.0000001e-09,1.0,0.22414857149124146,0.8390260338783264,0.38981303572654724,0.0009750532917678356,1.0,0.23334340751171112
44,0.8397684097290039,0.37652066349983215,0.0011702479096129537,1.0000001e-10,1.0,0.22414858639240265,0.8390271067619324,0.3898131847381592,0.0009750520694069564,1.0,0.23334340751171112
45,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.0000001e-10,1.0,0.22414858639240265,0.8390271663665771,0.3898133337497711,0.0009750513709150255,1.0,0.23334357142448425
46,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.0000001e-10,1.0,0.22414855659008026,0.8390271067619324,0.3898134231567383,0.0009750509052537382,1.0,0.23334363102912903
47,0.8397684097290039,0.37652066349983215,0.0011702477931976318,1.0000001e-10,1.0,0.22414858639240265,0.8390271663665771,0.38981351256370544,0.0009750504978001118,1.0,0.23334373533725739
48,0.8397682309150696,0.37652066349983215,0.0011702479096129537,1.0000001e-11,1.0,0.22414857149124146,0.8390274047851562,0.38981351256370544,0.000975050323177129,1.0,0.23334373533725739
49,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.0000001e-11,1.0,0.22414858639240265,0.8390275835990906,0.38981345295906067,0.0009750502649694681,1.0,0.23334373533725739
50,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.0000001e-11,1.0,0.22414858639240265,0.8390278220176697,0.38981345295906067,0.0009750502649694681,1.0,0.23334373533725739
51,0.8397684097290039,0.37652066349983215,0.0011702479096129537,1.0000001e-11,1.0,0.22414858639240265,0.8390277028083801,0.38981345295906067,0.0009750502067618072,1.0,0.23334373533725739
52,0.8397684097290039,0.37652066349983215,0.0011702480260282755,1.0000001e-12,1.0,0.22414858639240265,0.8390276432037354,0.38981351256370544,0.0009750502067618072,1.0,0.23334373533725739
53,0.8397684097290039,0.37652066349983215,0.0011702479096129537,1.0000001e-12,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750502067618072,1.0,0.23334373533725739
54,0.8397682309150696,0.37652066349983215,0.0011702479096129537,1.0000001e-12,1.0,0.22414860129356384,0.8390276432037354,0.38981351256370544,0.0009750500903464854,1.0,0.23334373533725739
55,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.0000001e-12,1.0,0.22414858639240265,0.839027464389801,0.38981351256370544,0.0009750500903464854,1.0,0.23334373533725739
56,0.8397684097290039,0.37652066349983215,0.0011702479096129537,1.0000001e-13,1.0,0.22414857149124146,0.8390276432037354,0.38981351256370544,0.0009750500903464854,1.0,0.23334373533725739
57,0.8397682309150696,0.37652066349983215,0.0011702479096129537,1.0000001e-13,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.2333436757326126
58,0.8397682309150696,0.37652066349983215,0.0011702479096129537,1.0000001e-13,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334373533725739
59,0.8397682309150696,0.37652066349983215,0.0011702479096129537,1.0000001e-13,1.0,0.22414857149124146,0.839027464389801,0.38981351256370544,0.0009750500903464854,1.0,0.23334373533725739
60,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.00000015e-14,1.0,0.22414858639240265,0.8390274047851562,0.38981351256370544,0.0009750500903464854,1.0,0.23334373533725739
61,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.00000015e-14,1.0,0.22414858639240265,0.839027464389801,0.38981351256370544,0.0009750500903464854,1.0,0.23334373533725739
62,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.00000015e-14,1.0,0.22414858639240265,0.8390273451805115,0.38981351256370544,0.0009750502067618072,1.0,0.23334376513957977
63,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.00000015e-14,1.0,0.22414858639240265,0.8390276432037354,0.38981351256370544,0.0009750500903464854,1.0,0.23334373533725739
64,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.0000001e-15,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334373533725739
65,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.0000001e-15,1.0,0.22414858639240265,0.8390277028083801,0.38981351256370544,0.0009750500903464854,1.0,0.23334373533725739
66,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.0000001e-15,1.0,0.22414858639240265,0.8390277028083801,0.38981351256370544,0.0009750500903464854,1.0,0.23334373533725739
67,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.0000001e-15,1.0,0.22414858639240265,0.839027464389801,0.38981351256370544,0.0009750500903464854,1.0,0.23334373533725739
68,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.0000001e-16,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
69,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.0000001e-16,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
